,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper
4048,2016-09-26,731570.0205003287,1725033.8319857498,1725033.863319498,731570.0048680705,731570.0361635253
4049,2016-09-27,731751.8150977435,1531327.5079713264,1531327.5392696278,731751.7994611787,731751.8307667081
4050,2016-09-28,731933.6096951583,1352826.034119939,1352826.0655393952,731933.5940542868,731933.6253698905
4051,2016-09-29,732115.4042925733,1193424.717195731,1193424.748532099,732115.3886473952,732115.4199730733
4052,2016-09-30,732297.1988899881,1056807.7047579638,1056807.7361581987,732297.1832405032,732297.2145762558
4053,2016-10-01,732478.9934874029,946352.1551099187,946352.1865033339,732478.9778336114,732479.0091794382
4054,2016-10-02,732660.7880848179,865029.1356513314,865029.166949671,732660.7724267198,732660.8037826212
4055,2016-10-03,732842.5826822327,815304.7828523294,815304.8142001032,732842.567019828,732842.5983856024
4056,2016-10-04,733024.3772796475,799045.550483024,799045.5819610178,733024.3616129361,733024.3929881031
4057,2016-10-05,733206.1718770624,817431.531924368,817431.5632477627,733206.1562060445,733206.187590604
4058,2016-10-06,733387.9664744773,870881.8480535593,870881.8795234321,733387.9507991525,733387.9821931046
4059,2016-10-07,733569.7610718919,958995.9400850079,958995.9715320368,733569.7453922607,733569.7767956052
4060,2016-10-08,733751.555669307,1080514.2893422078,1080514.3208740305,733751.5399853692,733751.5713981059
4061,2016-10-09,733933.3502667217,1233301.62817984,1233301.659667194,733933.3345784772,733933.3660006066
4062,2016-10-10,734115.1448641365,1414355.088907519,1414355.12040512,734115.1291715853,734115.1606031071
4063,2016-10-11,734296.9394615515,1619839.0068889423,1619839.0385245862,734296.9237646936,734296.955205608
4064,2016-10-12,734478.7340589663,1845147.2527731196,1845147.2842101357,734478.7183578019,734478.7498081089
4065,2016-10-13,734660.5286563811,2084993.0475022292,2084993.0789189348,734660.51295091,734660.5444106095
4066,2016-10-14,734842.3232537959,2333525.2522217417,2333525.283783676,734842.3075440181,734842.33901311
4067,2016-10-15,735024.1178512109,2584469.133764061,2584469.16539371,735024.1021371265,735024.1336156109
4068,2016-10-16,735205.9124486257,2831288.643272562,2831288.6748264725,735205.8967302346,735205.9282181114
4069,2016-10-17,735387.7070460405,3067366.334352654,3067366.36601107,735387.6913233427,735387.722820612
4070,2016-10-18,735569.5016434555,3286196.2142080716,3286196.2457771865,735569.4859164512,735569.5174231129
4071,2016-10-19,735751.2962408703,3481584.116741493,3481584.1483655022,735751.2805095592,735751.3120256137
4072,2016-10-20,735933.090838285,3647849.6246202607,3647849.6561766835,735933.0751026676,735933.1066281142
4073,2016-10-21,736114.8854357001,3780023.179554068,3780023.211062621,736114.8696957757,736114.9012306152
4074,2016-10-22,736296.6800331149,3874031.830136327,3874031.861676546,736296.6642888839,736296.6958331157
4075,2016-10-23,736478.4746305295,3926867.0775776063,3926867.1092440514,736478.458881992,736478.4904356165
4076,2016-10-24,736660.2692279445,3936728.5167308534,3936728.5483338297,736660.2534751004,736660.2850381173
4077,2016-10-25,736842.0638253592,3903137.415494644,3903137.447058007,736842.0480682084,736842.079640618
4078,2016-10-26,737023.858422774,3827015.043756944,3827015.075314211,737023.8426613166,737023.8742431187
4079,2016-10-27,737205.653020189,3710721.417678807,3710721.449197264,737205.6372544249,737205.6688456193
4080,2016-10-28,737387.4476176038,3558051.172093809,3558051.2036847295,737387.4318475332,737387.4634481202
